//
// file: mod_ignore.csv
//
// authors: Luk, 3aGl3, Bipo, Etheross
// team: SOG Modding
//
// project: RotU - Revolution
// website: http://sogmods.net/
//
// Reign of the Undead - Revolution by Luk and 3aGl3
// You may modify this code to your liking or reuse it, as long as you give credit to those who wrote it
// Based on Reign of the Undead 2.1 created by Bipo and Etheross
//

material,animbg_back
material,animbg_blur_back
material,animbg_fogscroll
material,animbg_fogscrollthin
material,animbg_front
material,gradient
material,gradient_bottom
material,gradient_center
material,gradient_fadein
material,gradient_top

material,button_highlight_end
material,compass_map_default
material,compass_waypoint_captureneutral
material,compassping_enemy
material,compassping_friendly
material,compassping_player
material,gfx_dark_smoke_atlas_bg
material,gfx_exp_igc
material,gfx_exp_spark
material,gfx_explosion_flash
material,gfx_explosion_flash_atlas
material,gfx_smk_white_atlas
material,gfx_snow_sheet_add
material,gfx_spark_atlas
material,hud_arrow_left
material,hud_us_grenade
material,hud_us_smokegrenade
material,hud_xpticker480
material,hud_xpticker480ws
material,line_horizontal
material,line_horizontal_scorebar
material,map_border
material,mc/mtl_marine_glove
material,mc/mtl_marine_glovesleeve
material,minimap_background
material,minimap_tickertape_background
material,minimap_tickertape_mp
material,objective_line
material,overlay_low_health
material,rank_icon_bg
material,rank_rec1
material,scorebar_backdrop
material,scorebar_fadein
material,white
material,black
material,specialty_new
material,specialty_locked
