1,1,641,2641,5,0,1,ch_claymoreshot,CHALLENGE_CLAYMORE_SHOT,CHALLENGE_KILL_5_ENEMIES_BY_USING,250,;,;,;,a,1,;,;,;,;,
2,2,642,2642,5,0,3,ch_expert_assault_1,CHALLENGE_ASSAULT_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_A1,50,;,;,;,a,1,;,;,;,;,
3,;,;,2642,25,5,3,ch_expert_assault_2,CHALLENGE_ASSAULT_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH,100,;,;,;,;,1,;,;,;,;,
4,;,;,2642,50,25,3,ch_expert_assault_3,CHALLENGE_ASSAULT_EXPERT_III,CHALLENGE_KILL_50_ENEMIES_WITH,250,;,;,;,;,1,;,;,;,;,
5,3,643,2643,5,0,3,ch_expert_smg_1,CHALLENGE_SMG_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS,50,;,;,;,a,1,;,;,;,;,
6,;,;,2643,25,5,3,ch_expert_smg_2,CHALLENGE_SMG_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH1,100,;,;,;,;,1,;,;,;,;,
7,;,;,2643,50,25,3,ch_expert_smg_3,CHALLENGE_SMG_EXPERT_III,CHALLENGE_KILL_50_ENEMIES_WITH1,250,;,;,;,;,1,;,;,;,;,
8,4,644,2644,5,0,3,ch_expert_lmg_1,CHALLENGE_LMG_EXPERT_I,CHALLENGE_KILL_5_ENEMIES_WITH_HEADSHOTS1,50,;,;,;,a,1,;,;,;,;,
9,;,;,2644,25,5,3,ch_expert_lmg_2,CHALLENGE_LMG_EXPERT_II,CHALLENGE_KILL_25_ENEMIES_WITH2,100,;,;,;,;,1,;,;,;,;,
10,;,;,2644,50,25,3,ch_expert_lmg_3,CHALLENGE_LMG_EXPERT_III,CHALLENGE_KILL_50_ENEMIES_WITH2,250,;,;,;,;,1,;,;,;,;,
11,5,645,2645,1,0,3,ch_laststandvet_1,CHALLENGE_LAST_STAND_VETERAN_I,CHALLENGE_KILL_1_ENEMY_WHILE_USING,50,;,;,;,b,1,;,;,;,;,
12,;,;,2645,5,1,3,ch_laststandvet_2,CHALLENGE_LAST_STAND_VETERAN_II,CHALLENGE_KILL_5_ENEMIES_WHILE2,100,;,;,;,;,1,;,;,;,;,
13,;,;,2645,15,5,3,ch_laststandvet_3,CHALLENGE_LAST_STAND_VETERAN_III,CHALLENGE_KILL_15_ENEMIES_WHILE2,250,;,;,;,;,1,;,;,;,;,
14,6,646,2646,5,0,3,ch_masterchef_1,CHALLENGE_MASTER_CHEF_I,CHALLENGE_KILL_5_ENEMIES_WITH_COOKED,50,;,;,;,b,1,;,;,;,;,
15,;,;,2646,10,5,3,ch_masterchef_2,CHALLENGE_MASTER_CHEF_II,CHALLENGE_KILL_10_ENEMIES_WITH1,100,;,;,;,;,1,;,;,;,;,
16,;,;,2646,20,10,3,ch_masterchef_3,CHALLENGE_MASTER_CHEF_III,CHALLENGE_KILL_20_ENEMIES_WITH,250,;,;,;,;,1,;,;,;,;,
